Product_Id,Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total
FD8366,16.73,Low Sugar,0.066,Dairy,166.21,OUT001,1987,High,Tier 2,Supermarket Type1,4766.5
FD736,14.75,Low Sugar,0.027,Seafood,135.64,OUT004,2009,Medium,Tier 2,Supermarket Type2,3693.34
FD5054,14.18,Regular,0.144,Frozen Foods,161.28,OUT001,1987,High,Tier 2,Supermarket Type1,4090.87
FD8628,10.96,Low Sugar,0.109,Dairy,130.68,OUT004,2009,Medium,Tier 2,Supermarket Type2,2737.2
NC4067,10.29,No Sugar,0.041,Others,154.53,OUT004,2009,Medium,Tier 2,Supermarket Type2,3073.21
NC437,15.28,No Sugar,0.074,Household,165.12,OUT003,1999,Medium,Tier 1,Departmental Store,6602.03
DR4947,14.26,Regular,0.087,Hard Drinks,147.37,OUT004,2009,Medium,Tier 2,Supermarket Type2,3823.3
NC1537,10.54,No Sugar,0.138,Health and Hygiene,111.69,OUT002,1998,Small,Tier 3,Food Mart,2252.34
FD698,15.48,Low Sugar,0.012,Dairy,199.52,OUT003,1999,Medium,Tier 1,Departmental Store,5165.52
FD8067,11.25,Low Sugar,0.142,Baking Goods,101.79,OUT002,1998,Small,Tier 3,Food Mart,2209.58
FD1845,10.6,Low Sugar,0.053,Fruits and Vegetables,141.22,OUT004,2009,Medium,Tier 2,Supermarket Type2,2869.75
FD3523,15.03,Low Sugar,0.066,Dairy,117.04,OUT004,2009,Medium,Tier 2,Supermarket Type2,3376.82
FD1850,12.62,Low Sugar,0.007,Starchy Foods,181.96,OUT001,1987,High,Tier 2,Supermarket Type1,4159.59
FD1722,12.82,Low Sugar,0.097,Fruits and Vegetables,120.47,OUT004,2009,Medium,Tier 2,Supermarket Type2,2947.79
FD7814,16.34,Regular,0.112,Fruits and Vegetables,184.46,OUT003,1999,Medium,Tier 1,Departmental Store,5051.69
FD483,11.56,Low Sugar,0.113,Fruits and Vegetables,151.4,OUT004,2009,Medium,Tier 2,Supermarket Type2,3439.42
FD1717,14.54,Low Sugar,0.1,Meat,176.71,OUT003,1999,Medium,Tier 1,Departmental Store,4487.34
FD7466,12.92,Low Sugar,0.083,Meat,180.95,OUT003,1999,Medium,Tier 1,Departmental Store,4207.7
FD7709,10.4,Low Sugar,0.07,Snack Foods,161.33,OUT004,2009,Medium,Tier 2,Supermarket Type2,3237.31
FD4323,13.91,Low Sugar,0.13,Fruits and Vegetables,193.95,OUT001,1987,High,Tier 2,Supermarket Type1,4698.38
FD3736,13.08,Low Sugar,0.044,Frozen Foods,114.66,OUT004,2009,Medium,Tier 2,Supermarket Type2,2888.39
FD73,13.87,Low Sugar,0.045,Baking Goods,204.18,OUT003,1999,Medium,Tier 1,Departmental Store,6763.94
FD7194,11.41,Low Sugar,0.019,Fruits and Vegetables,134.69,OUT004,2009,Medium,Tier 2,Supermarket Type2,2919.55
NC5411,12.28,No Sugar,0.16,Household,172.16,OUT004,2009,Medium,Tier 2,Supermarket Type2,3882.42
NC2283,15.1,No Sugar,0.129,Others,171.66,OUT001,1987,High,Tier 2,Supermarket Type1,4510.26
NC7106,10.27,No Sugar,0.136,Household,89.17,OUT002,1998,Small,Tier 3,Food Mart,1729.69
FD5932,15.36,Low Sugar,0.081,Dairy,171.27,OUT001,1987,High,Tier 2,Supermarket Type1,4561.19
FD6528,11.16,Low Sugar,0.024,Snack Foods,136.88,OUT004,2009,Medium,Tier 2,Supermarket Type2,2908.52
FD1965,15.98,Low Sugar,0.052,Canned,168.47,OUT001,1987,High,Tier 2,Supermarket Type1,4643.63
FD1357,9.88,Low Sugar,0.032,Snack Foods,142.22,OUT004,2009,Medium,Tier 2,Supermarket Type2,2727.08
FD2766,11.69,Low Sugar,0.011,Baking Goods,143.12,OUT004,2009,Medium,Tier 2,Supermarket Type2,3156.38
FD6876,15.09,Low Sugar,0.057,Meat,154.83,OUT001,1987,High,Tier 2,Supermarket Type1,4164.61
FD5396,11.32,Low Sugar,0.145,Frozen Foods,102.08,OUT002,1998,Small,Tier 3,Food Mart,2232.2
FD182,7.99,Low Sugar,0.033,Fruits and Vegetables,86.79,OUT001,1987,High,Tier 2,Supermarket Type1,2915.49
FD666,15.49,Low Sugar,0.118,Fruits and Vegetables,124.26,OUT004,2009,Medium,Tier 2,Supermarket Type2,3628.52
FD8109,11.67,Low Sugar,0.075,Frozen Foods,77.24,OUT002,1998,Small,Tier 3,Food Mart,1804.16
FD1053,15.71,Regular,0.053,Frozen Foods,140.71,OUT001,1987,High,Tier 2,Supermarket Type1,4015.69
NC3369,14.17,No Sugar,0.045,Health and Hygiene,180.95,OUT003,1999,Medium,Tier 1,Departmental Store,4490.96
FD2613,15.87,Low Sugar,0.058,Fruits and Vegetables,169.17,OUT001,1987,High,Tier 2,Supermarket Type1,4632.36
NC2929,12.1,No Sugar,0.009,Others,183.08,OUT001,1987,High,Tier 2,Supermarket Type1,4066.38
FD2691,11.98,Low Sugar,0.014,Snack Foods,166.73,OUT004,2009,Medium,Tier 2,Supermarket Type2,3703.68
NC2707,9.74,No Sugar,0.148,Household,136.46,OUT004,2009,Medium,Tier 2,Supermarket Type2,2577.84
FD4640,8.87,Low Sugar,0.062,Fruits and Vegetables,134.27,OUT001,1987,High,Tier 2,Supermarket Type1,2336.65
DR1777,14.52,Low Sugar,0.054,Soft Drinks,184.39,OUT001,1987,High,Tier 2,Supermarket Type1,4638.79
FD7659,13.89,Regular,0.048,Frozen Foods,155.59,OUT004,2009,Medium,Tier 2,Supermarket Type2,3908.2
FD71,9.44,Low Sugar,0.038,Fruits and Vegetables,136.96,OUT004,2009,Medium,Tier 2,Supermarket Type2,3552.87
NC7642,13.9,No Sugar,0.023,Household,179.14,OUT003,1999,Medium,Tier 1,Departmental Store,4393.11
